SkillIndex;Name;ID;Description;Level;AttackType;TargetType;AnimationType;CanHitDeadUnits;SoundFile;SpriteAnimation;SpriteIcon;SkillFomular;DamageType;Turns;Hits;HPFlat;HPPercent;MPFlat;MPPercent;Energy;ShieldPercent;ShieldFlat;AttFlat;AttPercent;DefFlat;DefPercent;MAttFlat;MAttPercent;MDefFlat;MDefPercent;STRFlat;STRPercent;DEXFlat;DEXPercent;INTFlat;INTPercent;LUKFlat;LUKPercent;SpeedFlat;SpeedPercent;ExpFlat;ExpPercent;DropFlat;DropPercent;Completion;Quality;Steps
string;string;int;string;int;string;string;string;bool;string;string;string;string;string;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int;int
S_1;Attack (Melee);1;Attack an enemy with a melee weapon;1;AttackType_PATT;TargetType_Target;AnimType_MeleeTarget;FALSE;NONE;NONE;NONE;{PSTR}+{PPATT}-{EPDEF};DAMAGE;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_2;Attack (Range);2;Attack an enemy with a ranged weapon;1;AttackType_PATT;TargetType_Target;AnimType_RangeTarget;FALSE;NONE;NONE;NONE;{PSTR}+{PPATT}-{EPDEF};DAMAGE;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_3;Magic Bolt;3;Attack an enemy with a Magic bolt;1;AttackType_MATT;TargetType_Target;AnimType_RangeTarget;FALSE;NONE;NONE;NONE;{PINT}+{PMATT}-{EMDEF};DAMAGE;0;1;0;0;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_4;Heal;4;Heals a Target;2;AttackType_MATT;TargetType_Target;AnimType_RangeTarget;FALSE;NONE;NONE;NONE;0-{PINT}-{PMATT}-{PMDEF};HEAL;0;1;0;0;50;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_5;Protect;5;Shields a Target;1;AttackType_BUFF;TargetType_Target;AnimType_RangeTarget;FALSE;NONE;NONE;NONE;0-0;NONE;5;1;0;0;200;0;1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_6;Fire Sword;6;Attacks an enemy with a fire sword;9;AttackType_PATT;TargetType_Target;AnimType_MeleeTarget;FALSE;NONE;NONE;NONE;{PSTR}+{PPATT}+{PMATT}+{PFATT}-{EPDEF}-{EMDEF}+{EFDEF};DAMAGE;0;1;0;0;50;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_7;Guard Position;7;Physical Defence Doubled!;6;AttackType_BUFF;TargetType_Target;AnimType_Self;FALSE;NONE;NONE;NONE;0-0;NONE;0;1;0;0;50;0;1;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
S_8;Berserk;8;Attack Doubled, Defence Halfed;45;AttackType_BUFF;TargetType_Target;AnimType_Self;FALSE;NONE;NONE;NONE;0-0;NONE;0;1;0;0;200;0;1;0;0;0;200;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_9;Blood Transfusion;9;Passes 25% of remaining HP to an Ally;32;AttackType_BUFF;TargetType_Target;AnimType_RangeTarget;FALSE;NONE;NONE;NONE;0-({PHP}*25/100);HEAL;0;1;0;25;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_10;Heal All;10;Heals all allies;28;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0-{PINT};HEAL;0;1;0;0;250;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_11;Regeneration;11;Heals a Target Over Time;4;AttackType_BUFF;TargetType_Target;AnimType_RangeTarget;FALSE;NONE;NONE;NONE;(0-{PINT}-{PMATT}-{PMDEF})/3;HEAL;5;1;0;0;80;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_12;Sacrifice;12;Heals all allies to full by sacrificing life;48;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0-9999;HEAL;0;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_13;Shell;13;Doubles Mdef of allies;28;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;NONE;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_14;Dispel;14;Removes all Buffs;41;AttackType_BUFF;TargetType_Target;AnimType_RangeTarget;FALSE;NONE;NONE;NONE;{SPECIAL}{REMOVEBUFFS};NONE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_15;PowerShot (T);15;iploremsum...;1;AttackType_PATT;TargetType_Target;AnimType_RangeTarget;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_16;PowerShot (F);16;iploremsum...;1;AttackType_PATT;TargetType_Target;AnimType_RangeTarget;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_17;PowerShot (I);17;iploremsum...;1;AttackType_PATT;TargetType_Target;AnimType_Ally;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_18;Thunder Spear;18;Attack using elemental damage;7;AttackType_PATT;TargetType_Target;AnimType_MeleeTarget;FALSE;NONE;NONE;NONE;9999;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_19;WarCry;19;Buffs attacks of allies;24;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;NONE;0;1;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_20;Ice Spear;20;Attack using elemental damage;7;AttackType_PATT;TargetType_Target;AnimType_MeleeTarget;FALSE;NONE;NONE;NONE;9999;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_21;dummyskill;21;iploremsum...;1;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_22;dummyskill;21;iploremsum...;1;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_23;dummyskill;21;iploremsum...;1;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_24;dummyskill;21;iploremsum...;1;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_25;dummyskill;21;iploremsum...;1;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_26;dummyskill;21;iploremsum...;1;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_27;dummyskill;21;iploremsum...;1;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_28;dummyskill;21;iploremsum...;1;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_29;dummyskill;21;iploremsum...;1;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_30;dummyskill;21;iploremsum...;1;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S_31;dummyskill;21;iploremsum...;1;AttackType_BUFF;TargetType_Multiple;AnimType_Ally;FALSE;NONE;NONE;NONE;0;DAMAGE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
